Date,Forecast,Lower_CI,Upper_CI
2023-01-31,18.291708141568,-7.459356003568757,44.04277228670476
2023-02-28,12.582211735407988,-13.23587230359258,38.400295774408555
2023-03-31,18.910131748002595,-6.909921047397447,44.730184543402636
2023-04-30,20.640384618201452,-5.179760416804211,46.46052965320712
2023-05-31,19.925376807434613,-5.894773138291082,45.745526753160306
2023-06-30,11.843793801832055,-13.97635686299943,37.66394446666354
2023-07-31,15.938478491881092,-9.881672691665138,41.75862967542732
2023-08-31,21.11141412045515,-4.708737595088856,46.93156583599916
2023-09-30,25.170017220156495,-0.650135503236303,50.99016994354929
2023-10-31,16.467426730968363,-9.352736875497463,42.28759033743419
2023-11-30,19.806098512477252,-6.014279943301219,45.62647696825572
2023-12-31,17.194828330010697,-8.629645446436015,43.01930210645741
